MDL16CS001 MA101(O), PH100(B), BE110(B+), BE10105(A), BE103(B), EE100(B), PH110(O), EE110(A+), CS110(O) 8.19565
MDL16CS002 MA101(O), PH100(B+), BE110(B+), BE10105(A+), BE103(B+), EE100(B+), PH110(O), EE110(O), CS110(O) 8.73913
MDL16CS004 MA101(B+), PH100(F), BE110(A), BE10105(A+), BE103(B+), EE100(F), PH110(A+), EE110(A+), CS110(O) 5.93478
MDL16CS005 MA101(B), PH100(F), BE110(B), BE10105(B), BE103(C), EE100(F), PH110(A+), EE110(A+), CS110(A+) 5
MDL16CS006 MA101(A+), PH100(B), BE110(A), BE10105(A), BE103(B+), EE100(B+), PH110(A+), EE110(B+), CS110(O) 8.26087
MDL16CS007 MA101(O), PH100(A), BE110(O), BE10105(O), BE103(A), EE100(B+), PH110(A+), EE110(O), CS110(O) 9.23913
MDL16CS013 MA101(O), PH100(A+), BE110(B+), BE10105(B+), BE103(B+), EE100(A+), PH110(O), EE110(A+), CS110(O) 8.86957
MDL16CS015 MA101(O), PH100(A), BE110(B+), BE10105(O), BE103(A), EE100(C), PH110(O), EE110(A+), CS110(O) 8.71739
MDL16CS017 MA101(A), PH100(B), BE110(O), BE10105(A), BE103(B+), EE100(A), PH110(O), EE110(A+), CS110(O) 8.52174
MDL16CS019 MA101(A), PH100(B), BE110(B), BE10105(B+), BE103(A), EE100(B), PH110(A+), EE110(A+), CS110(O) 7.8913
MDL16CS020 MA101(B+), PH100(A), BE110(A+), BE10105(O), BE103(B+), EE100(C), PH110(O), EE110(A+), CS110(A+) 8.3913
MDL16CS022 MA101(B+), PH100(B+), BE110(B+), BE10105(B+), BE103(B), EE100(C), PH110(A+), EE110(B), CS110(O) 7.69565
MDL16CS024 MA101(B), PH100(C), BE110(F), BE10105(B+), BE103(B+), EE100(F), PH110(A+), EE110(A), CS110(A) 5.47826
MDL16CS025 MA101(A+), PH100(B+), BE110(O), BE10105(B), BE103(B+), EE100(B+), PH110(O), EE110(A+), CS110(A) 8.45652
MDL16CS026 MA101(A+), PH100(B), BE110(B+), BE10105(C), BE103(B+), EE100(B), PH110(O), EE110(O), CS110(O) 7.86957
MDL16CS027 MA101(O), PH100(A+), BE110(A+), BE10105(A), BE103(B), EE100(B+), PH110(O), EE110(A+), CS110(O) 8.80435
MDL16CS031 MA101(A+), PH100(B+), BE110(B+), BE10105(B+), BE103(B), EE100(C), PH110(A+), EE110(B+), CS110(A+) 7.86957
MDL16CS032 MA101(A+), PH100(A+), BE110(O), BE10105(O), BE103(B+), EE100(B+), PH110(O), EE110(B+), CS110(O) 9.04348
MDL16CS034 MA101(O), PH100(A), BE110(O), BE10105(O), BE103(A+), EE100(A), PH110(O), EE110(A+), CS110(O) 9.36957
MDL16CS038 MA101(A), PH100(B+), BE110(B), BE10105(A+), BE103(A+), EE100(A), PH110(O), EE110(A+), CS110(O) 8.5
MDL16CS039 MA101(O), PH100(B), BE110(O), BE10105(A+), BE103(A), EE100(B), PH110(A+), EE110(O), CS110(O) 8.71739
MDL16CS040 MA101(A), PH100(C), BE110(A+), BE10105(A), BE103(B+), EE100(B), PH110(O), EE110(O), CS110(O) 8.06522
MDL16CS041 MA101(O), PH100(C), BE110(B+), BE10105(B+), BE103(B+), EE100(C), PH110(A), EE110(B+), CS110(O) 7.84783
MDL16CS048 MA101(A+), PH100(B), BE110(O), BE10105(A), BE103(B+), EE100(B+), PH110(O), EE110(A+), CS110(O) 8.54348
MDL16CS049 MA101(F), PH100(F), BE110(A), BE10105(F), BE103(B), EE100(F), PH110(B), EE110(B), CS110(A) 3
MDL16CS050 MA101(O), PH100(A+), BE110(O), BE10105(O), BE103(B+), EE100(O), PH110(O), EE110(O), CS110(O) 9.56522
MDL16CS054 MA101(B+), PH100(B), BE110(A), BE10105(A), BE103(B+), EE100(B+), PH110(A+), EE110(A), CS110(O) 8.1087
MDL16CS056 MA101(O), PH100(A), BE110(B+), BE10105(O), BE103(B+), EE100(A+), PH110(O), EE110(O), CS110(O) 9.08696
MDL16CS058 MA101(A+), PH100(B+), BE110(A), BE10105(O), BE103(A), EE100(O), PH110(O), EE110(O), CS110(O) 9.08696
MDL16CS060 MA101(B+), PH100(B), BE110(A), BE10105(A+), BE103(C), EE100(B+), PH110(O), EE110(A+), CS110(O) 7.97826
MDL16CS061 MA101(B+), PH100(C), BE110(B+), BE10105(C), BE103(B), EE100(B), PH110(O), EE110(A+), CS110(A+) 7.30435
MDL16CS063 MA101(A+), PH100(B+), BE110(A), BE10105(A+), BE103(B+), EE100(B), PH110(O), EE110(O), CS110(O) 8.5
MDL16CS067 MA101(A+), PH100(B+), BE110(B), BE10105(A), BE103(B+), EE100(C), PH110(O), EE110(O), CS110(O) 8.1087
